0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
1.321e-010,1,0
1.321e-010,2,0
1.321e-010,3,0
1.321e-010,4,0
1.321e-010,5,0
1.321e-010,6,0
1.321e-010,7,0e-005
1.321e-010,8,0
1.321e-010,9,0
1.321e-010,10,0
1.321e-010,11,0
1.321e-010,12,0
1.321e-009,1,0e-005
1.321e-009,2,0e-005
1.321e-009,3,4.317e-005
1.321e-009,4,0.00010604
1.321e-009,5,0
1.321e-009,6,0.00076936
1.321e-009,7,0.00020551
1.321e-009,8,0
1.321e-009,9,0
1.321e-009,10,0
1.321e-009,11,0
1.321e-009,12,0
1.321e-008,1,0
1.321e-008,2,0
1.321e-008,3,0
1.321e-008,4,0
1.321e-008,5,0
1.321e-008,6,0
1.321e-008,7,0
1.321e-008,8,0
1.321e-008,9,0
1.321e-008,10,0
1.321e-008,11,0
1.321e-008,12,0
1.321e-007,1,0
1.321e-007,2,0
1.321e-007,3,0
1.321e-007,4,0
1.321e-007,5,0
1.321e-007,6,0.00023709
1.321e-007,7,0
1.321e-007,8,0
1.321e-007,9,0
1.321e-007,10,0
1.321e-007,11,0
1.321e-007,12,0
1.321e-006,1,0
1.321e-006,2,0
1.321e-006,3,0
1.321e-006,4,0
1.321e-006,5,0
1.321e-006,6,0.00023405
1.321e-006,7,0
1.321e-006,8,0
1.321e-006,9,0
1.321e-006,10,0
1.321e-006,11,0
1.321e-006,12,0
1.321e-005,1,0
1.321e-005,2,0
1.321e-005,3,0
1.321e-005,4,0
1.321e-005,5,0
1.321e-005,6,0
1.321e-005,7,0
1.321e-005,8,0
1.321e-005,9,0
1.321e-005,10,0
1.321e-005,11,0
1.321e-005,12,0
0.0001321,1,0
0.0001321,2,0
0.0001321,3,0e-005
0.0001321,4,9.0104e-005
0.0001321,5,0
0.0001321,6,0
0.0001321,7,9.9428e-005
0.0001321,8,0
0.0001321,9,0
0.0001321,10,0
0.0001321,11,0
0.0001321,12,0
0.001321,1,0
0.001321,2,0
0.001321,3,0
0.001321,4,0
0.001321,5,0
0.001321,6,0
0.001321,7,0
0.001321,8,0e-005
0.001321,9,0e-005
0.001321,10,2.1376e-005
0.001321,11,8.2343e-005
0.001321,12,0.00032198
0.01321,1,0
0.01321,2,0
0.01321,3,0
0.01321,4,0
0.01321,5,0
0.01321,6,0e-006
0.01321,7,0
0.01321,8,0.00040211
0.01321,9,0.0010258
0.01321,10,0.0019777
0.01321,11,0.0034935
0.01321,12,0.0057472
0.1321,1,0
0.1321,2,0e-005
0.1321,3,0.00035505
0.1321,4,0.00073
0.1321,5,0.0012088
0.1321,6,0.00081705
0.1321,7,0.00034219
0.1321,8,0.010666
0.1321,9,0.019341
0.1321,10,0.029367
0.1321,11,0.040832
0.1321,12,0.052649
1.321,1,0
1.321,2,0
1.321,3,0
1.321,4,0
1.321,5,0
1.321,6,0.00048548
1.321,7,0
1.321,8,0.039575
1.321,9,0.05539
1.321,10,0.070248
1.321,11,0.082891
1.321,12,0.09527
