18.5,0.064190938
20.5,0.060276569
22.5,0.057546763
24.5,0.055622621
26.5,0.054175298
28.5,0.053298767
30.5,0.052088917
32.5,0.050842284
34.5,0.050489065
36.5,0.050211954
38.5,0.050061525
40.5,0.04996231
42.5,0.0494357
44.5,0.0487744
46.5,0.047302803
48.5,0.047686006
50.5,0.046612178
52.5,0.046260087
54.5,0.045379113
56.5,0.045298195
58.5,0.04519844
60.5,0.045464508
62.5,0.045578371
64.5,0.046489475
66.5,0.04821523
68.5,0.0505194
70.5,0.054245542
72.5,0.05861591
74.5,0.065323909
76.5,0.072479611
78.5,0.082844736
80.5,0.095043497
82.5,0.110359685
84.5,0.129726345
86.5,0.152674398
88.5,0.179533113
90.5,0.209559715
92.5,0.243929175
94.5,0.281543226
96.5,0.323464748
98.5,0.364060864
100.5,0.405346108
102.5,0.445565786
104.5,0.528446127
106.5,0.56800805
108.5,0.605732996
110.5,0.640746772
